model,barcode,power,temperature,boundaryPowerMax,boundaryPowerMin,compressorModel,doza,label
424,424100242149604600424,"75.5,75,78,78.5,79.5,82.5,83,83.5",17.8,75.04,90.83,JiaXipera МM1110Y,28,1
424,424100242149604580424,"72.5,76,78,78.5,79,80.5,80,79.5",18.1,75.48,91.32,JiaXipera МM1110Y,28,1
424,424100242149604560424,"73,75.5,78,79,81.5,83,81.5",18.3,75.78,91.64,JiaXipera МM1110Y,28,1
424,424100242149604530424,"74.5,80.5,82.5,85,85.5,88,89,88",18.4,75.92,91.8,JiaXipera МM1110Y,28,1
424,424100242149604520424,"69.5,75.5,77.5,80,81,84.5,85,84.5",18.2,75.63,91.48,JiaXipera МM1110Y,28,1
424,424100242149604500424,"74.5,80,82,82.5,83.5,85,85.5,86.5,85",18.3,75.78,91.64,JiaXipera МM1110Y,28,1
424,424100242149604490424,"80,77.5,76,80.5,82.5,84,85.5,86.5",18.4,75.92,91.8,JiaXipera МM1110Y,28,1
424,424100242149604480424,"74,78,80.5,82.5,82,83.5,81.5",18.4,75.92,91.8,JiaXipera МM1110Y,28,1
424,424100242149604470424,"74.5,79,81,81.5,84,84.5,86.5,86",18.4,75.92,91.8,JiaXipera МM1110Y,28,1
424,424100242149604430424,"76.5,79.5,80,82,83.5,84.5,86.5,85.5",18.5,76.07,91.96,JiaXipera МM1110Y,28,1
424,424100242149604360424,"74.5,81,83.5,84,85.5,88,87.5",17.7,74.89,90.67,JiaXipera МM1110Y,28,1
424,424100242149604350424,"74.5,75.5,79,83,82.5,84,84.5,84",17.8,75.04,90.83,JiaXipera МM1110Y,28,1
424,424100242149604280424,"80.5,82.5,84,83,82,83.5,85,83",18.1,75.48,91.32,JiaXipera МM1110Y,28,1
424,424100242149604260424,"76,79.5,81.5,84,86,87.5,87,86.5",18.3,75.78,91.64,JiaXipera МM1110Y,28,1
424,424100242149604220424,"76,76.5,79,77.5,76.5,79.5,80,80.5,80,82,81.5,83.5,84,85,85.5,87.5,86.5,87,87.5,88,87,87.5",18.2,75.63,91.48,JiaXipera МM1110Y,28,1
424,424100242149604200424,"73,73.5,79,80,82,83.5,82",18.5,76.07,91.96,JiaXipera МM1110Y,28,1
424,424100242149604440424,"71.5,76,79.5,81,83.5,86.5,84.5",18.5,76.07,91.96,JiaXipera МM1110Y,28,1
424,424100242149604190424,"75,79.5,81,83,83.5,84.5,85,83",18.6,76.22,92.12,JiaXipera МM1110Y,28,1
424,424100242149604150424,"72,77,80.5,81.5,84,85,83",18.6,76.22,92.12,JiaXipera МM1110Y,28,1
424,424100242149604140424,"75.5,78,82,81.5,83,85,84,83.5",18.6,76.22,92.12,JiaXipera МM1110Y,28,1
424,424100242149604130424,"77,79,81.5,82,83,84.5,85,84",18.6,76.22,92.12,JiaXipera МM1110Y,28,1
424,424100242149604120424,"76.5,78,82,83,84.5,86,85",18.6,76.22,92.12,JiaXipera МM1110Y,28,1
424,424100242149604080424,"75,76.5,78.5,81,83,84.5,86.5,83",18.9,76.66,92.61,JiaXipera МM1110Y,28,1
424,424100242149604030424,"68.5,73,73.5,76.5,77.5,78.5,80,81,78.5",18.0,75.33,91.16,JiaXipera МM1110Y,28,1
424,424100242149604010424,"70.5,73.5,76.5,77.5,78,79.5,82,79.5",17.9,75.19,91.0,JiaXipera МM1110Y,28,1
424,424100242149604000424,"73,75.5,77,79,80.5,80,80.5,81.5,80.5",18.3,75.78,91.64,JiaXipera МM1110Y,28,1
424,424100242149603970424,"72.5,77,79,80,82,82.5,81.5,80.5,83.5",18.4,75.92,91.8,JiaXipera МM1110Y,28,1
424,424100242149603940424,"72,77,81,82.5,84.5,85.5,86,85.5,86",18.4,75.92,91.8,JiaXipera МM1110Y,28,1
424,424100242149603920424,"74,74.5,77,78.5,81.5,82,84,81.5",18.3,75.78,91.64,JiaXipera МM1110Y,28,1
424,424100242149603910424,"71,76,78,79,80,82,84,82.5",18.3,75.78,91.64,JiaXipera МM1110Y,28,1
424,424100242149603810424,"71.5,77,79.5,81.5,84,83.5,85.5,85,86.5",18.4,75.92,91.8,JiaXipera МM1110Y,28,1
424,424100242149603780424,"74,77,80,82.5,84,84.5,85,85.5,83.5",18.6,76.22,92.12,JiaXipera МM1110Y,28,1
424,424100242149603770424,"72,77.5,79,81,81.5,83,84,82.5",18.6,76.22,92.12,JiaXipera МM1110Y,28,1
424,424100242149603750424,"71.5,78.5,81.5,83.5,84.5,85,83.5",18.7,76.37,92.29,JiaXipera МM1110Y,28,1
424,424100242149603740424,"73,74,79,80.5,82,83,85,83.5",18.8,76.51,92.45,JiaXipera МM1110Y,28,1
424,424100242149603710424,"73.5,76.5,77.5,78.5,81,81.5,82,81.5",18.7,76.37,92.29,JiaXipera МM1110Y,28,1
424,424100242149603690424,"73,78,78.5,81.5,83.5,85,86",18.9,76.66,92.61,JiaXipera МM1110Y,28,1
424,424100242149603680424,"76,76.5,77.5,84,86.5,88,90,88",18.9,76.66,92.61,JiaXipera МM1110Y,28,1
424,424100242149603640424,"71,76,76.5,78.5,80.5,80",15.8,72.1,87.61,JiaXipera МM1110Y,28,1
424,424100242149603630424,"75,76,77.5,79.5,82,79",16.5,73.13,88.74,JiaXipera МM1110Y,28,1
424,424100242149603610424,"76,76.5,77,77.5,80,81,80",15.8,72.1,87.61,JiaXipera МM1110Y,28,1
424,424100242149603600424,"74,76.5,75,77.5,77,79,79.5,78",15.9,72.24,87.77,JiaXipera МM1110Y,28,1
424,424100242149603570424,"70.5,75,76.5,77.5,78.5,81,81.5,80",16.2,72.69,88.25,JiaXipera МM1110Y,28,1
424,424100242149603560424,"74.5,77.5,78.5,79.5,80.5,82,81",16.4,72.98,88.58,JiaXipera МM1110Y,28,1
424,424100242149603550424,"69.5,74,74.5,76.5,77,77.5,78,77",16.3,72.83,88.42,JiaXipera МM1110Y,28,1
424,424100242149603540424,"74,73,73.5,75,75.5,77,78,77",16.2,72.69,88.25,JiaXipera МM1110Y,28,1
424,424100242149603510424,"74,78,77.5,80,80.5,82,81.5,80.5",16.6,73.27,88.9,JiaXipera МM1110Y,28,1
