model,barcode,power,temperature,boundaryPowerMax,boundaryPowerMin,compressorModel,doza,label
422,422100261449609580422,"74.5,77.5,83,84.5,86,86.5,87,85",18.7,77.11,93.23,JiaXipera МM1110Y,28,1
422,422100261449609570422,"70.5,73.5,78.5,79,80.5,81.5,82.5,81.5",16.4,73.81,90.32,JiaXipera МM1110Y,28,1
422,422100261449609560422,"70,75,78.5,80.5,81.5,83,83.5,82.5",16.5,73.96,90.45,JiaXipera МM1110Y,28,1
422,422100261449609550422,"71.5,75,79.5,81,82.5,83.5,82",16.6,74.1,90.57,JiaXipera МM1110Y,28,1
422,422100261449609540422,"69.5,71.5,79,80.5,81,81.5,83",16.6,74.1,90.57,JiaXipera МM1110Y,28,1
422,422100261449609530422,"76.5,79,82.5,83,84.5,87,87.5,85.5",18.6,76.97,93.1,JiaXipera МM1110Y,28,1
422,422100261449609480422,"72.5,73.5,79.5,81.5,81,82,81.5,81,82",16.8,74.39,90.83,JiaXipera МM1110Y,28,1
422,422100261449609470422,"72.5,74,77,78.5,80,81,79.5",17.2,74.96,91.33,JiaXipera МM1110Y,28,1
422,422100261449609490422,"67.5,72,78.5,77.5,81,83.5,84,82",16.7,74.24,90.7,JiaXipera МM1110Y,28,1
422,422100261449609460422,"69,73.5,77,79,78.5,80.5,81.5,81",17.1,74.82,91.2,JiaXipera МM1110Y,28,1
422,422100261449609410422,"70.5,76.5,78.5,80,80.5,81,81.5,82.5,82",17.0,74.67,91.08,JiaXipera МM1110Y,28,1
422,422100261449609400422,"72,78.5,83,83.5,85.5,87.5,88,86",17.4,75.25,91.58,JiaXipera МM1110Y,28,1
422,422100261449609390422,"71.5,75.5,78,78.5,77,80.5,80",17.3,75.11,91.46,JiaXipera МM1110Y,28,1
422,422100261449609350422,"68.5,69.5,73.5,77,78,81,84.5,82",17.4,75.25,91.58,JiaXipera МM1110Y,28,1
422,422100261449609340422,"70,71,77,78,80,80.5,82,80.5",17.4,75.25,91.58,JiaXipera МM1110Y,28,1
422,422100261449609320422,"67.5,72,73,76.5,79.5,81,81.5,83,81.5",17.0,74.67,91.08,JiaXipera МM1110Y,28,1
422,422100261449609260422,"66,67,73,78.5,80,82.5,81",17.0,74.67,91.08,JiaXipera МM1110Y,28,1
422,422100261449609240422,"71.5,76.5,80,82.5,83,84.5,85,83.5",18.1,76.25,92.47,JiaXipera МM1110Y,28,1
422,422100261449609230422,"73.5,75.5,80,82,83.5,85,83,83.5",17.4,75.25,91.58,JiaXipera МM1110Y,28,1
422,422100261449609200422,"69,75.5,78.5,81,82.5,82,81.5,80.5",17.3,75.11,91.46,JiaXipera МM1110Y,28,1
